OrphaCode,DiseaseName,AgeOfOnset,TypeOfInheritance,urgency_tier,cluster
166024,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,"Infancy, Neonatal",Autosomal recessive,1,2
166032,Multiple epiphyseal dysplasia-miniepiphyses syndrome,"Childhood, Infancy",Unknown,2,14
58,Alexander disease,All ages,Autosomal dominant,3,13
166029,Multiple epiphyseal dysplasia-severe proximal femoral dysplasia syndrome,Childhood,Unknown,2,7
61,Alpha-mannosidosis,"Childhood, Infancy, Neonatal",Autosomal recessive,1,2
166038,"Metaphyseal chondrodysplasia, Kaitila type",Neonatal,Unknown,3,14
166035,Brachydactyly-short stature-retinitis pigmentosa syndrome,"Childhood, Infancy",Autosomal recessive,2,7
93,Aspartylglucosaminuria,Childhood,Autosomal recessive,2,7
585,Multiple sulfatase deficiency,"Adolescent, Antenatal, Childhood, Infancy, Neonatal",Autosomal recessive,1,12
118,Beta-mannosidosis,"Adolescent, Adult, Childhood, Infancy, Neonatal",Autosomal recessive,1,2
141,Canavan disease,"Childhood, Infancy, Neonatal",Autosomal recessive,1,12
166063,Pontocerebellar hypoplasia type 4,Antenatal,Autosomal recessive,1,2
166078,Von Willebrand disease type 1,All ages,Autosomal dominant,3,4
166073,Pontocerebellar hypoplasia type 6,Neonatal,Autosomal recessive,1,2
213,Cystinosis,"Adolescent, Adult, Childhood, Infancy",Autosomal recessive,2,1
166084,Von Willebrand disease type 2A,Unknown,"Autosomal dominant, Autosomal recessive",3,11
333,Farber disease,"Antenatal, Childhood, Infancy, Neonatal",Autosomal recessive,1,2
166081,Von Willebrand disease type 2,All ages,"Autosomal dominant, Autosomal recessive",3,4
349,Fucosidosis,"Childhood, Infancy",Autosomal recessive,2,7
166090,Von Willebrand disease type 2M,Unknown,Autosomal dominant,3,11
365,Glycogen storage disease due to acid maltase deficiency,"Adolescent, Adult, Antenatal, Childhood, Infancy, Neonatal",Autosomal recessive,1,12
166087,Von Willebrand disease type 2B,Unknown,Autosomal dominant,3,11
366,Glycogen storage disease due to glycogen debranching enzyme deficiency,"Childhood, Infancy",Autosomal recessive,2,12
166093,Von Willebrand disease type 2N,Unknown,Autosomal recessive,3,3
368,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,"Adolescent, Adult, Childhood",Autosomal recessive,2,7
166096,Von Willebrand disease type 3,"Infancy, Neonatal",Autosomal recessive,1,2
367,Glycogen storage disease due to glycogen branching enzyme deficiency,All ages,Autosomal recessive,3,4
166100,Autosomal dominant otospondylomegaepiphyseal dysplasia,"Infancy, Neonatal",Autosomal dominant,2,8
371,Glycogen storage disease due to muscle phosphofructokinase deficiency,"Adolescent, Adult, Childhood, Infancy",Autosomal recessive,2,7
