OrphaCode,DiseaseName,AgeOfOnset,TypeOfInheritance,urgency_tier,onset_score,rarity_weight,OMIM,MONDO,ICD-10,DisorderType
166024,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,"Infancy, Neonatal",Autosomal recessive,1,8,7.0,607131.0,11778.0,Q77.3,Disease
166032,Multiple epiphyseal dysplasia-miniepiphyses syndrome,"Childhood, Infancy",,2,7,7.0,609325.0,12254.0,Q77.3,Disease
58,Alexander disease,All ages,Autosomal dominant,3,4,7.0,203450.0,8752.0,G93.8,Disease
166029,Multiple epiphyseal dysplasia-severe proximal femoral dysplasia syndrome,Childhood,,2,6,7.0,609324.0,12253.0,Q77.3,Disease
61,Alpha-mannosidosis,"Childhood, Infancy, Neonatal",Autosomal recessive,1,8,7.0,248500.0,9561.0,E77.1,Disease
166038,"Metaphyseal chondrodysplasia, Kaitila type",Neonatal,,3,8,7.0,250230.0,9594.0,Q78.5,Disease
166035,Brachydactyly-short stature-retinitis pigmentosa syndrome,"Childhood, Infancy",Autosomal recessive,2,7,7.0,250410.0,9598.0,Q87.8,Malformation syndrome
93,Aspartylglucosaminuria,Childhood,Autosomal recessive,2,6,6.0,208400.0,8830.0,E77.1,Disease
585,Multiple sulfatase deficiency,"Adolescent, Antenatal, Childhood, Infancy, Neonatal",Autosomal recessive,1,9,6.0,272200.0,10088.0,E75.2,Disease
118,Beta-mannosidosis,"Adolescent, Adult, Childhood, Infancy, Neonatal",Autosomal recessive,1,8,6.0,248510.0,9562.0,E77.1,Disease
141,Canavan disease,"Childhood, Infancy, Neonatal",Autosomal recessive,1,8,5.0,271900.0,10079.0,E75.2,Disease
166063,Pontocerebellar hypoplasia type 4,Antenatal,Autosomal recessive,1,9,7.0,225753.0,9166.0,Q04.3,Malformation syndrome
166078,Von Willebrand disease type 1,All ages,Autosomal dominant,3,4,3.0,193400.0,8668.0,D68.0,Clinical subtype
166073,Pontocerebellar hypoplasia type 6,Neonatal,Autosomal recessive,1,8,7.0,611523.0,12683.0,Q04.3,Malformation syndrome
213,Cystinosis,"Adolescent, Adult, Childhood, Infancy",Autosomal recessive,2,7,6.0,219900.0,16239.0,E72.0,Disease
166084,Von Willebrand disease type 2A,,"Autosomal dominant, Autosomal recessive",3,0,5.0,613554.0,15628.0,D68.0,Clinical subtype
333,Farber disease,"Antenatal, Childhood, Infancy, Neonatal",Autosomal recessive,1,9,7.0,228000.0,9218.0,E75.2,Disease
166081,Von Willebrand disease type 2,All ages,"Autosomal dominant, Autosomal recessive",3,4,6.0,613554.0,13304.0,D68.0,Clinical subtype
349,Fucosidosis,"Childhood, Infancy",Autosomal recessive,2,7,7.0,230000.0,9254.0,E77.1,Disease
166090,Von Willebrand disease type 2M,,Autosomal dominant,3,0,5.0,613554.0,15630.0,D68.0,Clinical subtype
365,Glycogen storage disease due to acid maltase deficiency,"Adolescent, Adult, Antenatal, Childhood, Infancy, Neonatal",Autosomal recessive,1,9,6.0,232300.0,9290.0,E74.0,Disease
166087,Von Willebrand disease type 2B,,Autosomal dominant,3,0,5.0,613554.0,15629.0,D68.0,Clinical subtype
366,Glycogen storage disease due to glycogen debranching enzyme deficiency,"Childhood, Infancy",Autosomal recessive,2,7,5.0,232400.0,9291.0,E74.0,Disease
166093,Von Willebrand disease type 2N,,Autosomal recessive,3,0,5.0,613554.0,15631.0,D68.0,Clinical subtype
368,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,"Adolescent, Adult, Childhood",Autosomal recessive,2,6,6.0,232600.0,9293.0,E74.0,Disease
166096,Von Willebrand disease type 3,"Infancy, Neonatal",Autosomal recessive,1,8,7.0,277480.0,10191.0,D68.0,Clinical subtype
367,Glycogen storage disease due to glycogen branching enzyme deficiency,All ages,Autosomal recessive,3,4,6.0,263570.0,9292.0,E74.0,Disease
166100,Autosomal dominant otospondylomegaepiphyseal dysplasia,"Infancy, Neonatal",Autosomal dominant,2,8,5.0,184840.0,8490.0,Q87.0,Malformation syndrome
371,Glycogen storage disease due to muscle phosphofructokinase deficiency,"Adolescent, Adult, Childhood, Infancy",Autosomal recessive,2,7,7.0,232800.0,9295.0,E74.0,Disease
166105,FASTKD2-related infantile mitochondrial encephalomyopathy,"Adolescent, Infancy, Neonatal",Autosomal recessive,1,8,7.0,618855.0,15632.0,G71.3,Disease
369,Glycogen storage disease due to liver glycogen phosphorylase deficiency,Childhood,Autosomal recessive,2,6,5.0,232700.0,9294.0,E74.0,Disease
447,Paroxysmal nocturnal hemoglobinuria,All ages,Not applicable,3,4,6.0,615399.0,100244.0,D59.5,Disease
166108,Birk-Barel syndrome,Infancy,Autosomal dominant,2,7,7.0,612292.0,12856.0,Q87.8,Disease
166113,Bazex syndrome,Adult,Not applicable,3,3,7.0,,,L44.8,Disease
535,Rare cutaneous lupus erythematosus,All ages,Multigenic/multifactorial,3,4,4.0,,,,Clinical group
166119,Isolated osteopoikilosis,"Adolescent, Adult, Childhood",Autosomal dominant,2,6,4.0,166700.0,15634.0,Q78.8,Disease
487,Krabbe disease,"Adolescent, Adult, Childhood, Infancy, Neonatal",Autosomal recessive,1,8,6.0,611722.0,9499.0,E75.2,Disease
166260,Dentinogenesis imperfecta type 2,Childhood,Autosomal dominant,2,6,3.0,605594.0,7441.0,K00.5,Clinical subtype
166265,Dentinogenesis imperfecta type 3,Childhood,Autosomal dominant,2,6,5.0,125500.0,7442.0,K00.5,Clinical subtype
583,Mucopolysaccharidosis type 6,Childhood,Autosomal recessive,2,6,7.0,253200.0,9661.0,E76.2,Disease
