OrphaCode,DiseaseName,GeneSymbol,GeneName,AssociationType,AssociationStatus
166024,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,KIF7,kinesin family member 7,Disease-causing germline mutation(s) in,Assessed
166035,Brachydactyly-short stature-retinitis pigmentosa syndrome,CWC27,CWC27 spliceosome associated cyclophilin,Disease-causing germline mutation(s) in,Assessed
93,Aspartylglucosaminuria,AGA,aspartylglucosaminidase,Disease-causing germline mutation(s) in,Assessed
585,Multiple sulfatase deficiency,SUMF1,sulfatase modifying factor 1,Disease-causing germline mutation(s) in,Assessed
118,Beta-mannosidosis,MANBA,mannosidase beta,Disease-causing germline mutation(s) in,Assessed
166063,Pontocerebellar hypoplasia type 4,TSEN54,tRNA splicing endonuclease subunit 54,Disease-causing germline mutation(s) in,Assessed
166078,Von Willebrand disease type 1,VWF,von Willebrand factor,Disease-causing germline mutation(s) in,Assessed
166073,Pontocerebellar hypoplasia type 6,RARS2,"arginyl-tRNA synthetase 2, mitochondrial",Disease-causing germline mutation(s) in,Assessed
166084,Von Willebrand disease type 2A,VWF,von Willebrand factor,Disease-causing germline mutation(s) in,Assessed
333,Farber disease,ASAH1,N-acylsphingosine amidohydrolase 1,Disease-causing germline mutation(s) in,Assessed
349,Fucosidosis,FUCA1,alpha-L-fucosidase 1,Disease-causing germline mutation(s) in,Assessed
166090,Von Willebrand disease type 2M,VWF,von Willebrand factor,Disease-causing germline mutation(s) in,Assessed
166087,Von Willebrand disease type 2B,VWF,von Willebrand factor,Disease-causing germline mutation(s) in,Assessed
366,Glycogen storage disease due to glycogen debranching enzyme deficiency,AGL,"amylo-alpha-1,6-glucosidase and 4-alpha-glucanotransferase",Disease-causing germline mutation(s) in,Assessed
166093,Von Willebrand disease type 2N,VWF,von Willebrand factor,Disease-causing germline mutation(s) in,Assessed
368,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,PYGM,"glycogen phosphorylase, muscle associated",Disease-causing germline mutation(s) in,Assessed
166096,Von Willebrand disease type 3,VWF,von Willebrand factor,Disease-causing germline mutation(s) in,Assessed
166100,Autosomal dominant otospondylomegaepiphyseal dysplasia,COL11A2,collagen type XI alpha 2 chain,Disease-causing germline mutation(s) in,Assessed
371,Glycogen storage disease due to muscle phosphofructokinase deficiency,PFKM,"phosphofructokinase, muscle",Disease-causing germline mutation(s) in,Assessed
166105,FASTKD2-related infantile mitochondrial encephalomyopathy,FASTKD2,FAST kinase domains 2,Disease-causing germline mutation(s) (loss of function) in,Assessed
369,Glycogen storage disease due to liver glycogen phosphorylase deficiency,PYGL,glycogen phosphorylase L,Disease-causing germline mutation(s) in,Assessed
447,Paroxysmal nocturnal hemoglobinuria,PIGA,phosphatidylinositol glycan anchor biosynthesis class A,Disease-causing somatic mutation(s) in,Assessed
166108,Birk-Barel syndrome,KCNK9,potassium two pore domain channel subfamily K member 9,Disease-causing germline mutation(s) in,Assessed
166119,Isolated osteopoikilosis,LEMD3,LEM domain containing 3,Disease-causing germline mutation(s) (loss of function) in,Assessed
166260,Dentinogenesis imperfecta type 2,DSPP,dentin sialophosphoprotein,Disease-causing germline mutation(s) in,Assessed
166265,Dentinogenesis imperfecta type 3,DSPP,dentin sialophosphoprotein,Disease-causing germline mutation(s) in,Assessed
166272,Odontochondrodysplasia,TRIP11,thyroid hormone receptor interactor 11,Disease-causing germline mutation(s) in,Assessed
576,Mucolipidosis type II,GNPTAB,N-acetylglucosamine-1-phosphate transferase subunits alpha and beta,Disease-causing germline mutation(s) (loss of function) in,Assessed
812,Sialidosis type 1,NEU1,neuraminidase 1,Disease-causing germline mutation(s) in,Assessed
166282,Hereditary sick sinus syndrome,SCN5A,sodium voltage-gated channel alpha subunit 5,Disease-causing germline mutation(s) in,Assessed
166282,Hereditary sick sinus syndrome,HCN4,hyperpolarization activated cyclic nucleotide gated potassium channel 4,Disease-causing germline mutation(s) in,Assessed
166282,Hereditary sick sinus syndrome,MYH6,myosin heavy chain 6,Major susceptibility factor in,Assessed
166282,Hereditary sick sinus syndrome,GNB2,G protein subunit beta 2,Disease-causing germline mutation(s) in,Assessed
578,Mucolipidosis type IV,MCOLN1,mucolipin TRP cation channel 1,Disease-causing germline mutation(s) (loss of function) in,Assessed
166286,Porokeratotic eccrine ostial and dermal duct nevus,GJB2,gap junction protein beta 2,Disease-causing somatic mutation(s) in,Assessed
461,Recessive X-linked ichthyosis,FLG,filaggrin,Modifying germline mutation in,Assessed
461,Recessive X-linked ichthyosis,STS,steroid sulfatase,Disease-causing germline mutation(s) in,Assessed
584,Mucopolysaccharidosis type 7,GUSB,glucuronidase beta,Disease-causing germline mutation(s) in,Assessed
166412,Hot water reflex epilepsy,SLC1A1,solute carrier family 1 member 1,Disease-causing germline mutation(s) in,Assessed
95,Friedreich ataxia,FXN,frataxin,Disease-causing germline mutation(s) (loss of function) in,Assessed
586,Cystic fibrosis,SERPINA1,serpin family A member 1,Modifying germline mutation in,Assessed
586,Cystic fibrosis,SLC26A9,solute carrier family 26 member 9,Modifying germline mutation in,Assessed
586,Cystic fibrosis,SLC6A14,solute carrier family 6 member 14,Modifying germline mutation in,Assessed
586,Cystic fibrosis,SLC9A3,solute carrier family 9 member A3,Modifying germline mutation in,Assessed
586,Cystic fibrosis,CEACAM3,CEA cell adhesion molecule 3,Modifying germline mutation in,Assessed
586,Cystic fibrosis,CEACAM6,CEA cell adhesion molecule 6,Modifying germline mutation in,Assessed
586,Cystic fibrosis,EDNRA,endothelin receptor type A,Modifying germline mutation in,Assessed
586,Cystic fibrosis,GSTM3,glutathione S-transferase mu 3,Modifying germline mutation in,Assessed
586,Cystic fibrosis,HMOX1,heme oxygenase 1,Modifying germline mutation in,Assessed
586,Cystic fibrosis,GCLC,glutamate-cysteine ligase catalytic subunit,Modifying germline mutation in,Assessed
586,Cystic fibrosis,HFE,homeostatic iron regulator,Modifying germline mutation in,Assessed
586,Cystic fibrosis,CFTR,CF transmembrane conductance regulator,Disease-causing germline mutation(s) (loss of function) in,Assessed
586,Cystic fibrosis,TGFB1,transforming growth factor beta 1,Modifying germline mutation in,Assessed
586,Cystic fibrosis,DCTN4,dynactin subunit 4,Modifying germline mutation in,Assessed
586,Cystic fibrosis,CLCA4,chloride channel accessory 4,Modifying germline mutation in,Assessed
586,Cystic fibrosis,STX1A,syntaxin 1A,Modifying germline mutation in,Assessed
586,Cystic fibrosis,KCNN4,potassium calcium-activated channel subfamily N member 4,Modifying germline mutation in,Assessed
586,Cystic fibrosis,MIF,macrophage migration inhibitory factor,Modifying germline mutation in,Assessed
586,Cystic fibrosis,SLC11A1,solute carrier family 11 member 1,Modifying germline mutation in,Assessed
550,MELAS,MT-CO1,mitochondrially encoded cytochrome c oxidase I,Disease-causing germline mutation(s) in,Assessed
550,MELAS,MT-CO2,mitochondrially encoded cytochrome c oxidase II,Disease-causing germline mutation(s) in,Assessed
550,MELAS,MT-ND1,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1,Disease-causing germline mutation(s) in,Assessed
550,MELAS,MT-ND4,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4,Disease-causing germline mutation(s) in,Assessed
550,MELAS,MT-ND5,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5,Disease-causing germline mutation(s) in,Assessed
550,MELAS,MT-ND6,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6,Disease-causing germline mutation(s) in,Assessed
550,MELAS,MT-TL1,mitochondrially encoded tRNA-Leu (UUA/G) 1,Disease-causing germline mutation(s) in,Assessed
550,MELAS,MT-TW,mitochondrially encoded tRNA-Trp (UGA/G),Disease-causing germline mutation(s) in,Assessed
550,MELAS,MT-TS1,mitochondrially encoded tRNA-Ser (UCN) 1,Disease-causing germline mutation(s) in,Assessed
550,MELAS,MT-TF,mitochondrially encoded tRNA-Phe (UUU/C),Disease-causing germline mutation(s) in,Assessed
269,Facioscapulohumeral dystrophy,DNMT3B,DNA methyltransferase 3 beta,Modifying germline mutation in,Assessed
269,Facioscapulohumeral dystrophy,SMCHD1,structural maintenance of chromosomes flexible hinge domain containing 1,Disease-causing germline mutation(s) in,Assessed
269,Facioscapulohumeral dystrophy,SMCHD1,structural maintenance of chromosomes flexible hinge domain containing 1,Modifying germline mutation in,Assessed
480,Kearns-Sayre syndrome,RRM2B,ribonucleotide reductase regulatory TP53 inducible subunit M2B,Disease-causing germline mutation(s) in,Assessed
551,MERRF,MT-TP,mitochondrially encoded tRNA-Pro (CCN),Disease-causing germline mutation(s) in,Assessed
551,MERRF,MT-ND5,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5,Disease-causing germline mutation(s) in,Assessed
551,MERRF,MT-TL1,mitochondrially encoded tRNA-Leu (UUA/G) 1,Disease-causing germline mutation(s) in,Assessed
551,MERRF,MT-TK,mitochondrially encoded tRNA-Lys (AAA/G),Disease-causing germline mutation(s) in,Assessed
551,MERRF,MT-TH,mitochondrially encoded tRNA-His (CAU/C),Disease-causing germline mutation(s) in,Assessed
551,MERRF,MT-TS1,mitochondrially encoded tRNA-Ser (UCN) 1,Disease-causing germline mutation(s) in,Assessed
551,MERRF,MT-TF,mitochondrially encoded tRNA-Phe (UUU/C),Disease-causing germline mutation(s) in,Assessed
597,Central core disease,RYR1,ryanodine receptor 1,Disease-causing germline mutation(s) in,Assessed
163746,Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease,SOX10,SRY-box transcription factor 10,Disease-causing germline mutation(s) in,Assessed
684,Paramyotonia congenita of Von Eulenburg,SCN4A,sodium voltage-gated channel alpha subunit 4,Disease-causing germline mutation(s) in,Assessed
163931,Acrodermatitis continua of Hallopeau,IL36RN,interleukin 36 receptor antagonist,Disease-causing germline mutation(s) in,Assessed
163931,Acrodermatitis continua of Hallopeau,AP1S3,adaptor related protein complex 1 subunit sigma 3,Disease-causing germline mutation(s) in,Assessed
163927,Pustulosis palmaris et plantaris,IL36RN,interleukin 36 receptor antagonist,Disease-causing germline mutation(s) in,Assessed
163927,Pustulosis palmaris et plantaris,AP1S3,adaptor related protein complex 1 subunit sigma 3,Disease-causing germline mutation(s) in,Assessed
163937,"X-linked intellectual disability, Najm type",CASK,calcium/calmodulin dependent serine protein kinase,Disease-causing germline mutation(s) in,Assessed
614,Thomsen and Becker disease,CLCN1,chloride voltage-gated channel 1,Disease-causing germline mutation(s) (loss of function) in,Assessed
163966,"X-linked dominant chondrodysplasia, Chassaing-Lacombe type",HDAC6,histone deacetylase 6,Disease-causing germline mutation(s) in,Assessed
163976,"X-linked intellectual disability, Van Esch type",POLA1,"DNA polymerase alpha 1, catalytic subunit",Disease-causing germline mutation(s) in,Assessed
163956,"X-linked intellectual disability, Nascimento type",UBE2A,ubiquitin conjugating enzyme E2 A,Disease-causing germline mutation(s) in,Assessed
324,Fabry disease,GLA,galactosidase alpha,Disease-causing germline mutation(s) in,Assessed
163985,Hyperekplexia-epilepsy syndrome,ARHGEF9,Cdc42 guanine nucleotide exchange factor 9,Disease-causing germline mutation(s) (loss of function) in,Assessed
778,Rett syndrome,MECP2,methyl-CpG binding protein 2,Disease-causing germline mutation(s) in,Assessed
307,Juvenile myoclonic epilepsy,CILK1,ciliogenesis associated kinase 1,Major susceptibility factor in,Assessed
307,Juvenile myoclonic epilepsy,CACNB4,calcium voltage-gated channel auxiliary subunit beta 4,Major susceptibility factor in,Assessed
307,Juvenile myoclonic epilepsy,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1,Major susceptibility factor in,Assessed
307,Juvenile myoclonic epilepsy,EFHC1,EF-hand domain containing 1,Major susceptibility factor in,Assessed
307,Juvenile myoclonic epilepsy,GABRD,gamma-aminobutyric acid type A receptor subunit delta,Major susceptibility factor in,Assessed
307,Juvenile myoclonic epilepsy,KCNQ3,potassium voltage-gated channel subfamily Q member 3,Major susceptibility factor in,Assessed
307,Juvenile myoclonic epilepsy,CLCN2,chloride voltage-gated channel 2,Major susceptibility factor in,Assessed
1941,Juvenile absence epilepsy,EFHC1,EF-hand domain containing 1,Major susceptibility factor in,Assessed
892,Von Hippel-Lindau disease,CCND1,cyclin D1,Modifying germline mutation in,Assessed
892,Von Hippel-Lindau disease,VHL,von Hippel-Lindau tumor suppressor,Disease-causing germline mutation(s) in,Assessed
731,Autosomal recessive polycystic kidney disease,DZIP1L,DAZ interacting zinc finger protein 1 like,Disease-causing germline mutation(s) (loss of function) in,Assessed
731,Autosomal recessive polycystic kidney disease,PKHD1,PKHD1 ciliary IPT domain containing fibrocystin/polyductin,Disease-causing germline mutation(s) (loss of function) in,Assessed
164736,Familial advanced sleep-phase syndrome,PER3,period circadian regulator 3,Disease-causing germline mutation(s) in,Assessed
164736,Familial advanced sleep-phase syndrome,CSNK1D,casein kinase 1 delta,Disease-causing germline mutation(s) in,Assessed
164736,Familial advanced sleep-phase syndrome,PER2,period circadian regulator 2,Disease-causing germline mutation(s) in,Assessed
138,CHARGE syndrome,CHD7,chromodomain helicase DNA binding protein 7,Disease-causing germline mutation(s) in,Assessed
803,Amyotrophic lateral sclerosis,CCNF,cyclin F,Disease-causing germline mutation(s) in,Assessed
803,Amyotrophic lateral sclerosis,ANXA11,annexin A11,Disease-causing germline mutation(s) in,Assessed
803,Amyotrophic lateral sclerosis,CFAP410,cilia and flagella associated protein 410,Disease-causing germline mutation(s) in,Assessed
803,Amyotrophic lateral sclerosis,GLE1,GLE1 RNA export mediator,Disease-causing germline mutation(s) in,Assessed
803,Amyotrophic lateral sclerosis,NEK1,NIMA related kinase 1,Major susceptibility factor in,Assessed
803,Amyotrophic lateral sclerosis,GLT8D1,glycosyltransferase 8 domain containing 1,Major susceptibility factor in,Assessed
803,Amyotrophic lateral sclerosis,CHCHD10,coiled-coil-helix-coiled-coil-helix domain containing 10,Disease-causing germline mutation(s) in,Assessed
803,Amyotrophic lateral sclerosis,DAO,D-amino acid oxidase,Disease-causing germline mutation(s) in,Assessed
803,Amyotrophic lateral sclerosis,ATXN2,ataxin 2,Major susceptibility factor in,Assessed
803,Amyotrophic lateral sclerosis,CHMP2B,charged multivesicular body protein 2B,Disease-causing germline mutation(s) in,Assessed
803,Amyotrophic lateral sclerosis,SOD1,superoxide dismutase 1,Disease-causing germline mutation(s) in,Assessed
803,Amyotrophic lateral sclerosis,TREM2,triggering receptor expressed on myeloid cells 2,Major susceptibility factor in,Assessed
803,Amyotrophic lateral sclerosis,VAPB,VAMP associated protein B and C,Disease-causing germline mutation(s) in,Assessed
803,Amyotrophic lateral sclerosis,VCP,valosin containing protein,Disease-causing germline mutation(s) in,Assessed
803,Amyotrophic lateral sclerosis,NEFH,neurofilament heavy chain,Major susceptibility factor in,Assessed
803,Amyotrophic lateral sclerosis,OPTN,optineurin,Disease-causing germline mutation(s) in,Assessed
803,Amyotrophic lateral sclerosis,TARDBP,TAR DNA binding protein,Disease-causing germline mutation(s) in,Assessed
803,Amyotrophic lateral sclerosis,FIG4,FIG4 phosphoinositide 5-phosphatase,Disease-causing germline mutation(s) in,Assessed
803,Amyotrophic lateral sclerosis,FUS,FUS RNA binding protein,Disease-causing germline mutation(s) in,Assessed
803,Amyotrophic lateral sclerosis,ANG,angiogenin,Disease-causing germline mutation(s) in,Assessed
803,Amyotrophic lateral sclerosis,MATR3,matrin 3,Disease-causing germline mutation(s) in,Assessed
803,Amyotrophic lateral sclerosis,PRPH,peripherin,Major susceptibility factor in,Assessed
803,Amyotrophic lateral sclerosis,PON1,paraoxonase 1,Disease-causing germline mutation(s) in,Assessed
803,Amyotrophic lateral sclerosis,PON2,paraoxonase 2,Disease-causing germline mutation(s) in,Assessed
803,Amyotrophic lateral sclerosis,PON3,paraoxonase 3,Disease-causing germline mutation(s) in,Assessed
803,Amyotrophic lateral sclerosis,SQSTM1,sequestosome 1,Disease-causing germline mutation(s) in,Assessed
803,Amyotrophic lateral sclerosis,UBQLN2,ubiquilin 2,Disease-causing germline mutation(s) in,Assessed
803,Amyotrophic lateral sclerosis,C9ORF72,C9orf72-SMCR8 complex subunit,Disease-causing germline mutation(s) in,Assessed
803,Amyotrophic lateral sclerosis,PFN1,profilin 1,Disease-causing germline mutation(s) in,Assessed
803,Amyotrophic lateral sclerosis,TBK1,TANK binding kinase 1,Major susceptibility factor in,Assessed
