OrphaCode,DiseaseName,AgeOfOnset,TypeOfInheritance,urgency_tier
166024,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,"Infancy, Neonatal",Autosomal recessive,1
166032,Multiple epiphyseal dysplasia-miniepiphyses syndrome,"Childhood, Infancy",,2
58,Alexander disease,All ages,Autosomal dominant,3
166029,Multiple epiphyseal dysplasia-severe proximal femoral dysplasia syndrome,Childhood,,2
61,Alpha-mannosidosis,"Childhood, Infancy, Neonatal",Autosomal recessive,1
166038,"Metaphyseal chondrodysplasia, Kaitila type",Neonatal,,3
166035,Brachydactyly-short stature-retinitis pigmentosa syndrome,"Childhood, Infancy",Autosomal recessive,2
93,Aspartylglucosaminuria,Childhood,Autosomal recessive,2
585,Multiple sulfatase deficiency,"Adolescent, Antenatal, Childhood, Infancy, Neonatal",Autosomal recessive,1
118,Beta-mannosidosis,"Adolescent, Adult, Childhood, Infancy, Neonatal",Autosomal recessive,1
141,Canavan disease,"Childhood, Infancy, Neonatal",Autosomal recessive,1
166063,Pontocerebellar hypoplasia type 4,Antenatal,Autosomal recessive,1
166078,Von Willebrand disease type 1,All ages,Autosomal dominant,3
166073,Pontocerebellar hypoplasia type 6,Neonatal,Autosomal recessive,1
213,Cystinosis,"Adolescent, Adult, Childhood, Infancy",Autosomal recessive,2
166084,Von Willebrand disease type 2A,,"Autosomal dominant, Autosomal recessive",3
333,Farber disease,"Antenatal, Childhood, Infancy, Neonatal",Autosomal recessive,1
166081,Von Willebrand disease type 2,All ages,"Autosomal dominant, Autosomal recessive",3
349,Fucosidosis,"Childhood, Infancy",Autosomal recessive,2
166090,Von Willebrand disease type 2M,,Autosomal dominant,3
365,Glycogen storage disease due to acid maltase deficiency,"Adolescent, Adult, Antenatal, Childhood, Infancy, Neonatal",Autosomal recessive,1
166087,Von Willebrand disease type 2B,,Autosomal dominant,3
366,Glycogen storage disease due to glycogen debranching enzyme deficiency,"Childhood, Infancy",Autosomal recessive,2
166093,Von Willebrand disease type 2N,,Autosomal recessive,3
368,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,"Adolescent, Adult, Childhood",Autosomal recessive,2
166096,Von Willebrand disease type 3,"Infancy, Neonatal",Autosomal recessive,1
367,Glycogen storage disease due to glycogen branching enzyme deficiency,All ages,Autosomal recessive,3
166100,Autosomal dominant otospondylomegaepiphyseal dysplasia,"Infancy, Neonatal",Autosomal dominant,2
371,Glycogen storage disease due to muscle phosphofructokinase deficiency,"Adolescent, Adult, Childhood, Infancy",Autosomal recessive,2
166105,FASTKD2-related infantile mitochondrial encephalomyopathy,"Adolescent, Infancy, Neonatal",Autosomal recessive,1
369,Glycogen storage disease due to liver glycogen phosphorylase deficiency,Childhood,Autosomal recessive,2
447,Paroxysmal nocturnal hemoglobinuria,All ages,Not applicable,3
166108,Birk-Barel syndrome,Infancy,Autosomal dominant,2
166113,Bazex syndrome,Adult,Not applicable,3
535,Rare cutaneous lupus erythematosus,All ages,Multigenic/multifactorial,3
166119,Isolated osteopoikilosis,"Adolescent, Adult, Childhood",Autosomal dominant,2
487,Krabbe disease,"Adolescent, Adult, Childhood, Infancy, Neonatal",Autosomal recessive,1
166260,Dentinogenesis imperfecta type 2,Childhood,Autosomal dominant,2
166265,Dentinogenesis imperfecta type 3,Childhood,Autosomal dominant,2
583,Mucopolysaccharidosis type 6,Childhood,Autosomal recessive,2
166272,Odontochondrodysplasia,"Infancy, Neonatal",Autosomal recessive,1
576,Mucolipidosis type II,"Antenatal, Neonatal",Autosomal recessive,1
166277,Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia,Childhood,Unknown,2
812,Sialidosis type 1,"Adolescent, Childhood",Autosomal recessive,2
166282,Hereditary sick sinus syndrome,"Adult, Elderly","Autosomal dominant, Autosomal recessive",3
578,Mucolipidosis type IV,Infancy,Autosomal recessive,2
166286,Porokeratotic eccrine ostial and dermal duct nevus,"Infancy, Neonatal",Not applicable,2
577,Mucolipidosis type III,Childhood,Autosomal recessive,2
166291,Dirofilariasis,All ages,Not applicable,3
166308,Benign infantile focal epilepsy with midline spikes and waves during sleep,Infancy,,2
2912,Poliomyelitis,Childhood,Not applicable,2
796,Sandhoff disease,"Adolescent, Adult, Childhood, Infancy",Autosomal recessive,2
166409,Photosensitive occipital lobe epilepsy,"Adolescent, Adult, Childhood",,2
801,Scleroderma,All ages,Not applicable,3
461,Recessive X-linked ichthyosis,Neonatal,X-linked recessive,3
166421,Orgasm-induced epilepsy,Adult,,3
166418,Eating reflex epilepsy,All ages,,3
584,Mucopolysaccharidosis type 7,"Adolescent, Antenatal, Childhood, Infancy, Neonatal",Autosomal recessive,1
166412,Hot water reflex epilepsy,All ages,Autosomal dominant,3
166433,Epilepsy with reading-induced seizures,"Adolescent, Adult",,3
881,Turner syndrome,"Antenatal, Childhood, Infancy, Neonatal","Not applicable, Unknown",2
95,Friedreich ataxia,"Adolescent, Childhood",Autosomal recessive,2
848,Beta-thalassemia,"Childhood, Infancy","Autosomal dominant, Autosomal recessive",2
846,Alpha-thalassemia,All ages,Autosomal recessive,3
586,Cystic fibrosis,All ages,Autosomal recessive,3
262,Duchenne and Becker muscular dystrophy,"Adolescent, Adult, Childhood",X-linked recessive,2
261,Emery-Dreifuss muscular dystrophy,Childhood,"Autosomal dominant, Autosomal recessive, X-linked recessive",2
550,MELAS,"Adolescent, Adult, Childhood","Mitochondrial inheritance, Not applicable",2
269,Facioscapulohumeral dystrophy,All ages,Autosomal dominant,3
480,Kearns-Sayre syndrome,"Adolescent, Adult, Childhood, Infancy","Autosomal recessive, Mitochondrial inheritance, Not applicable",2
593,Myofibrillar myopathy,Adult,"Autosomal dominant, Autosomal recessive",3
551,MERRF,"Adult, Childhood",Mitochondrial inheritance,2
597,Central core disease,Childhood,Autosomal dominant,2
607,Nemaline myopathy,All ages,"Autosomal dominant, Autosomal recessive, Not applicable",3
163746,Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease,"Infancy, Neonatal",Autosomal dominant,2
684,Paramyotonia congenita of Von Eulenburg,"Adolescent, Childhood, Infancy, Neonatal",Autosomal dominant,2
163931,Acrodermatitis continua of Hallopeau,Adult,Autosomal recessive,3
273,Steinert myotonic dystrophy,"Adolescent, Adult, Antenatal, Childhood, Infancy, Neonatal",Autosomal dominant,2
163927,Pustulosis palmaris et plantaris,,"Autosomal dominant, Autosomal recessive",3
163937,"X-linked intellectual disability, Najm type","Infancy, Neonatal",X-linked dominant,2
163934,Atopic keratoconjunctivitis,All ages,Not applicable,3
614,Thomsen and Becker disease,"Adolescent, Adult, Childhood, Infancy","Autosomal dominant, Autosomal recessive",2
163921,Posttransplant acute limbic encephalitis,All ages,,3
163966,"X-linked dominant chondrodysplasia, Chassaing-Lacombe type","Infancy, Neonatal",X-linked dominant,2
163971,"X-linked intellectual disability, Cilliers type","Infancy, Neonatal",X-linked recessive,2
163976,"X-linked intellectual disability, Van Esch type","Infancy, Neonatal",X-linked recessive,2
163979,X-linked intellectual disability-craniofacioskeletal syndrome,"Antenatal, Infancy, Neonatal",Unknown,2
163956,"X-linked intellectual disability, Nascimento type",Infancy,X-linked recessive,2
163961,X-linked cerebral-cerebellar-coloboma syndrome,"Infancy, Neonatal",X-linked recessive,2
164726,Acute myeloid leukemia and myelodysplastic syndromes related to radiation,"Adult, Elderly",,3
324,Fabry disease,"Adolescent, Adult, Childhood","X-linked dominant, X-linked recessive",2
163985,Hyperekplexia-epilepsy syndrome,Neonatal,X-linked recessive,3
778,Rett syndrome,Infancy,X-linked dominant,2
72,Angelman syndrome,Infancy,Not applicable,2
307,Juvenile myoclonic epilepsy,"Adolescent, Childhood",Multigenic/multifactorial,2
1941,Juvenile absence epilepsy,Adolescent,"Multigenic/multifactorial, Unknown",3
892,Von Hippel-Lindau disease,"Adolescent, Adult, Childhood",Autosomal dominant,2
731,Autosomal recessive polycystic kidney disease,All ages,Autosomal recessive,3
164736,Familial advanced sleep-phase syndrome,"Adolescent, Childhood",Autosomal dominant,2
138,CHARGE syndrome,"Antenatal, Neonatal","Autosomal dominant, Unknown",3
558,Marfan syndrome,All ages,Autosomal dominant,3
803,Amyotrophic lateral sclerosis,Adult,"Autosomal dominant, Autosomal recessive, Not applicable",3
100,Ataxia-telangiectasia,"Childhood, Infancy",Autosomal recessive,2
733,Familial adenomatous polyposis,Adult,"Autosomal dominant, Autosomal recessive",3
399,Huntington disease,"Adolescent, Adult, Childhood, Elderly",Autosomal dominant,2
165955,Wound myiasis,"Adult, Elderly",Not applicable,3
501,Lafora disease,"Adolescent, Childhood",Autosomal recessive,2
165958,Cavitary myiasis,All ages,Not applicable,3
870,Down syndrome,"Antenatal, Neonatal",Not applicable,3
512,Metachromatic leukodystrophy,"Adolescent, Adult, Childhood, Infancy",Autosomal recessive,2
166016,"Multiple epiphyseal dysplasia, Lowry type",Neonatal,,3
567,22q11.2 deletion syndrome,All ages,Autosomal dominant,3
232,Sickle cell anemia,All ages,Autosomal recessive,3
536,Systemic lupus erythematosus,"Adolescent, Adult, Childhood, Infancy",Not applicable,2
166002,Multiple epiphyseal dysplasia due to collagen 9 anomaly,"Adolescent, Childhood",Autosomal dominant,2
534,Oculocerebrorenal syndrome of Lowe,"Antenatal, Neonatal",X-linked recessive,3
790,Retinoblastoma,"Antenatal, Childhood, Infancy","Autosomal dominant, Not applicable",2
165991,Exercise-induced hyperinsulinism,"Adolescent, Adult",Autosomal dominant,3
