OrphaCode,DiseaseName,AgeOfOnset,TypeOfInheritance
166024,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,"Infancy, Neonatal",Autosomal recessive
166032,Multiple epiphyseal dysplasia-miniepiphyses syndrome,"Childhood, Infancy",
166029,Multiple epiphyseal dysplasia-severe proximal femoral dysplasia syndrome,Childhood,
61,Alpha-mannosidosis,"Childhood, Infancy, Neonatal",Autosomal recessive
166038,"Metaphyseal chondrodysplasia, Kaitila type",Neonatal,
166035,Brachydactyly-short stature-retinitis pigmentosa syndrome,"Childhood, Infancy",Autosomal recessive
93,Aspartylglucosaminuria,Childhood,Autosomal recessive
585,Multiple sulfatase deficiency,"Adolescent, Antenatal, Childhood, Infancy, Neonatal",Autosomal recessive
118,Beta-mannosidosis,"Adolescent, Adult, Childhood, Infancy, Neonatal",Autosomal recessive
141,Canavan disease,"Childhood, Infancy, Neonatal",Autosomal recessive
166063,Pontocerebellar hypoplasia type 4,Antenatal,Autosomal recessive
166073,Pontocerebellar hypoplasia type 6,Neonatal,Autosomal recessive
213,Cystinosis,"Adolescent, Adult, Childhood, Infancy",Autosomal recessive
333,Farber disease,"Antenatal, Childhood, Infancy, Neonatal",Autosomal recessive
349,Fucosidosis,"Childhood, Infancy",Autosomal recessive
365,Glycogen storage disease due to acid maltase deficiency,"Adolescent, Adult, Antenatal, Childhood, Infancy, Neonatal",Autosomal recessive
366,Glycogen storage disease due to glycogen debranching enzyme deficiency,"Childhood, Infancy",Autosomal recessive
368,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,"Adolescent, Adult, Childhood",Autosomal recessive
166096,Von Willebrand disease type 3,"Infancy, Neonatal",Autosomal recessive
166100,Autosomal dominant otospondylomegaepiphyseal dysplasia,"Infancy, Neonatal",Autosomal dominant
371,Glycogen storage disease due to muscle phosphofructokinase deficiency,"Adolescent, Adult, Childhood, Infancy",Autosomal recessive
166105,FASTKD2-related infantile mitochondrial encephalomyopathy,"Adolescent, Infancy, Neonatal",Autosomal recessive
369,Glycogen storage disease due to liver glycogen phosphorylase deficiency,Childhood,Autosomal recessive
166108,Birk-Barel syndrome,Infancy,Autosomal dominant
166119,Isolated osteopoikilosis,"Adolescent, Adult, Childhood",Autosomal dominant
487,Krabbe disease,"Adolescent, Adult, Childhood, Infancy, Neonatal",Autosomal recessive
166260,Dentinogenesis imperfecta type 2,Childhood,Autosomal dominant
166265,Dentinogenesis imperfecta type 3,Childhood,Autosomal dominant
583,Mucopolysaccharidosis type 6,Childhood,Autosomal recessive
166272,Odontochondrodysplasia,"Infancy, Neonatal",Autosomal recessive
576,Mucolipidosis type II,"Antenatal, Neonatal",Autosomal recessive
166277,Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia,Childhood,Unknown
812,Sialidosis type 1,"Adolescent, Childhood",Autosomal recessive
578,Mucolipidosis type IV,Infancy,Autosomal recessive
166286,Porokeratotic eccrine ostial and dermal duct nevus,"Infancy, Neonatal",Not applicable
577,Mucolipidosis type III,Childhood,Autosomal recessive
166308,Benign infantile focal epilepsy with midline spikes and waves during sleep,Infancy,
2912,Poliomyelitis,Childhood,Not applicable
796,Sandhoff disease,"Adolescent, Adult, Childhood, Infancy",Autosomal recessive
166409,Photosensitive occipital lobe epilepsy,"Adolescent, Adult, Childhood",
461,Recessive X-linked ichthyosis,Neonatal,X-linked recessive
584,Mucopolysaccharidosis type 7,"Adolescent, Antenatal, Childhood, Infancy, Neonatal",Autosomal recessive
881,Turner syndrome,"Antenatal, Childhood, Infancy, Neonatal","Not applicable, Unknown"
95,Friedreich ataxia,"Adolescent, Childhood",Autosomal recessive
848,Beta-thalassemia,"Childhood, Infancy","Autosomal dominant, Autosomal recessive"
262,Duchenne and Becker muscular dystrophy,"Adolescent, Adult, Childhood",X-linked recessive
261,Emery-Dreifuss muscular dystrophy,Childhood,"Autosomal dominant, Autosomal recessive, X-linked recessive"
550,MELAS,"Adolescent, Adult, Childhood","Mitochondrial inheritance, Not applicable"
480,Kearns-Sayre syndrome,"Adolescent, Adult, Childhood, Infancy","Autosomal recessive, Mitochondrial inheritance, Not applicable"
551,MERRF,"Adult, Childhood",Mitochondrial inheritance
597,Central core disease,Childhood,Autosomal dominant
163746,Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease,"Infancy, Neonatal",Autosomal dominant
684,Paramyotonia congenita of Von Eulenburg,"Adolescent, Childhood, Infancy, Neonatal",Autosomal dominant
273,Steinert myotonic dystrophy,"Adolescent, Adult, Antenatal, Childhood, Infancy, Neonatal",Autosomal dominant
163937,"X-linked intellectual disability, Najm type","Infancy, Neonatal",X-linked dominant
614,Thomsen and Becker disease,"Adolescent, Adult, Childhood, Infancy","Autosomal dominant, Autosomal recessive"
163966,"X-linked dominant chondrodysplasia, Chassaing-Lacombe type","Infancy, Neonatal",X-linked dominant
163971,"X-linked intellectual disability, Cilliers type","Infancy, Neonatal",X-linked recessive
163976,"X-linked intellectual disability, Van Esch type","Infancy, Neonatal",X-linked recessive
163979,X-linked intellectual disability-craniofacioskeletal syndrome,"Antenatal, Infancy, Neonatal",Unknown
163956,"X-linked intellectual disability, Nascimento type",Infancy,X-linked recessive
163961,X-linked cerebral-cerebellar-coloboma syndrome,"Infancy, Neonatal",X-linked recessive
324,Fabry disease,"Adolescent, Adult, Childhood","X-linked dominant, X-linked recessive"
163985,Hyperekplexia-epilepsy syndrome,Neonatal,X-linked recessive
778,Rett syndrome,Infancy,X-linked dominant
72,Angelman syndrome,Infancy,Not applicable
307,Juvenile myoclonic epilepsy,"Adolescent, Childhood",Multigenic/multifactorial
892,Von Hippel-Lindau disease,"Adolescent, Adult, Childhood",Autosomal dominant
164736,Familial advanced sleep-phase syndrome,"Adolescent, Childhood",Autosomal dominant
138,CHARGE syndrome,"Antenatal, Neonatal","Autosomal dominant, Unknown"
100,Ataxia-telangiectasia,"Childhood, Infancy",Autosomal recessive
399,Huntington disease,"Adolescent, Adult, Childhood, Elderly",Autosomal dominant
501,Lafora disease,"Adolescent, Childhood",Autosomal recessive
870,Down syndrome,"Antenatal, Neonatal",Not applicable
512,Metachromatic leukodystrophy,"Adolescent, Adult, Childhood, Infancy",Autosomal recessive
166016,"Multiple epiphyseal dysplasia, Lowry type",Neonatal,
