disease1_code,disease1_name,disease2_code,disease2_name,n_shared_genes,shared_genes
93925,Alobar holoprosencephaly,220386,Semilobar holoprosencephaly,16,"CDON, CRIPTO, DISP1, DLL1, FGF8"
220386,Semilobar holoprosencephaly,280195,Septopreoptic holoprosencephaly,15,"CDON, CRIPTO, DISP1, DLL1, FGF8"
93926,Midline interhemispheric variant of holoprosencephaly,280195,Septopreoptic holoprosencephaly,15,"CDON, CRIPTO, DISP1, DLL1, FGF8"
93926,Midline interhemispheric variant of holoprosencephaly,220386,Semilobar holoprosencephaly,15,"CDON, CRIPTO, DISP1, DLL1, FGF8"
93924,Lobar holoprosencephaly,280195,Septopreoptic holoprosencephaly,15,"CDON, CRIPTO, DISP1, DLL1, FGF8"
93924,Lobar holoprosencephaly,220386,Semilobar holoprosencephaly,15,"CDON, CRIPTO, DISP1, DLL1, FGF8"
93924,Lobar holoprosencephaly,93926,Midline interhemispheric variant of holoprosencephaly,15,"CDON, CRIPTO, DISP1, DLL1, FGF8"
93924,Lobar holoprosencephaly,93925,Alobar holoprosencephaly,15,"CDON, CRIPTO, DISP1, DLL1, FGF8"
93925,Alobar holoprosencephaly,280195,Septopreoptic holoprosencephaly,15,"CDON, CRIPTO, DISP1, DLL1, FGF8"
93925,Alobar holoprosencephaly,93926,Midline interhemispheric variant of holoprosencephaly,15,"CDON, CRIPTO, DISP1, DLL1, FGF8"
280195,Septopreoptic holoprosencephaly,280200,Microform holoprosencephaly,14,"CDON, CRIPTO, DISP1, DLL1, FGF8"
220386,Semilobar holoprosencephaly,280200,Microform holoprosencephaly,14,"CDON, CRIPTO, DISP1, DLL1, FGF8"
93926,Midline interhemispheric variant of holoprosencephaly,280200,Microform holoprosencephaly,14,"CDON, CRIPTO, DISP1, DLL1, FGF8"
93924,Lobar holoprosencephaly,280200,Microform holoprosencephaly,14,"CDON, CRIPTO, DISP1, DLL1, FGF8"
93925,Alobar holoprosencephaly,280200,Microform holoprosencephaly,14,"CDON, CRIPTO, DISP1, DLL1, FGF8"
44,Neonatal adrenoleukodystrophy,912,Zellweger syndrome,13,"PEX1, PEX10, PEX11B, PEX12, PEX13"
44,Neonatal adrenoleukodystrophy,772,Infantile Refsum disease,13,"PEX1, PEX10, PEX11B, PEX12, PEX13"
772,Infantile Refsum disease,912,Zellweger syndrome,13,"PEX1, PEX10, PEX11B, PEX12, PEX13"
251576,Gliosarcoma,251579,Giant cell glioblastoma,12,"EGFR, FGFR1, FGFR3, IDH1, LZTR1"
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,90636,Rare autosomal recessive non-syndromic sensorineural deafness type DFNB,11,"CEACAM16, COL11A2, GJB2, GJB3, GJB6"
432,Normosmic congenital hypogonadotropic hypogonadism,478,Kallmann syndrome,11,"CHD7, DUSP6, FGF17, FGF8, FGFR1"
293899,"Inherited isolated arrhythmogenic ventricular dysplasia, biventricular variant",293910,"Inherited isolated arrhythmogenic cardiomyopathy, dominant-right variant",11,"CTNNA3, DSC2, DSG2, DSP, JUP"
293888,"Inherited isolated arrhythmogenic cardiomyopathy, dominant-left variant",293910,"Inherited isolated arrhythmogenic cardiomyopathy, dominant-right variant",11,"CTNNA3, DSC2, DSG2, DSP, JUP"
293888,"Inherited isolated arrhythmogenic cardiomyopathy, dominant-left variant",293899,"Inherited isolated arrhythmogenic ventricular dysplasia, biventricular variant",11,"CTNNA3, DSC2, DSG2, DSP, JUP"
475,Isolated Joubert syndrome,564,Meckel syndrome,9,"B9D1, B9D2, CSPP1, MKS1, TCTN1"
65,Leber congenital amaurosis,791,Retinitis pigmentosa,9,"CRB1, CRX, IFT140, IMPDH1, LRAT"
642945,,642976,,9,"CLPP, ERAL1, GGPS1, HARS2, HSD17B4"
791,Retinitis pigmentosa,1872,Cone rod dystrophy,8,"ABCA4, CDHR1, CFAP418, CRX, PROM1"
216812,Osteogenesis imperfecta type 3,216820,Osteogenesis imperfecta type 4,8,"COL1A1, COL1A2, CRTAP, FKBP10, MBTPS2"
313,Lamellar ichthyosis,79394,Congenital ichthyosiform erythroderma,7,"ABCA12, ALOX12B, ALOXE3, NIPAL4, SDR9C7"
110,Bardet-Biedl syndrome,791,Retinitis pigmentosa,7,"ARL6, BBS1, BBS2, CFAP418, IFT172"
588,Muscle-eye-brain disease,899,Walker-Warburg syndrome,7,"B3GALNT2, CRPPA, FKRP, FKTN, POMGNT1"
90636,Rare autosomal recessive non-syndromic sensorineural deafness type DFNB,231169,Usher syndrome type 1,6,"CDH23, CIB2, ESPN, MYO7A, PCDH15"
803,Amyotrophic lateral sclerosis,275872,Frontotemporal dementia with motor neuron disease,6,"C9ORF72, CHCHD10, SQSTM1, TARDBP, TBK1"
98984,Pulverulent cataract,98991,Early-onset nuclear cataract,6,"CRYBB1, CRYBB2, CRYGC, CRYGD, GJA3"
101063,Situs inversus totalis,157769,Situs ambiguus,6,"CFAP53, CIROP, DNAH9, MMP21, NODAL"
100069,Semantic dementia,275864,Behavioral variant of frontotemporal dementia,6,"CHMP2B, GRN, MAPT, PSEN1, TMEM106B"
100069,Semantic dementia,100070,Progressive non-fluent aphasia,6,"CHMP2B, GRN, MAPT, PSEN1, TMEM106B"
100070,Progressive non-fluent aphasia,275864,Behavioral variant of frontotemporal dementia,6,"CHMP2B, GRN, MAPT, PSEN1, TMEM106B"
1377,Cataract-microcornea syndrome,98991,Early-onset nuclear cataract,6,"CRYAA, CRYBB1, CRYBB2, CRYGC, CRYGD"
1377,Cataract-microcornea syndrome,98984,Pulverulent cataract,6,"CRYBB1, CRYBB2, CRYGC, CRYGD, GJA8"
98991,Early-onset nuclear cataract,441452,Early-onset lamellar cataract,6,"CRYAA, CRYAB, CRYBA1, CRYGC, CRYGD"
98991,Early-onset nuclear cataract,98994,Total early-onset cataract,6,"CRYAA, CRYBB2, EPHA2, FYCO1, GJA8"
242,"46,XY complete gonadal dysgenesis",251510,"46,XY partial gonadal dysgenesis",6,"DHX37, MAP3K1, NR0B1, NR5A1, SOX9"
177901,Prader-Willi syndrome due to paternal deletion of 15q11q13 type 1,177904,Prader-Willi syndrome due to paternal deletion of 15q11q13 type 2,6,"MAGEL2, NDN, OCA2, SNORD115@, SNORD116@"
104,Leber hereditary optic neuropathy,255210,Mitochondrial DNA-associated Leigh syndrome,6,"MT-ATP6, MT-ND1, MT-ND2, MT-ND4, MT-ND5"
550,MELAS,255210,Mitochondrial DNA-associated Leigh syndrome,6,"MT-ND1, MT-ND4, MT-ND5, MT-ND6, MT-TL1"
60030,Loeys-Dietz syndrome,91387,Familial thoracic aortic aneurysm and aortic dissection,6,"SMAD2, SMAD3, TGFB2, TGFB3, TGFBR1"
99853,Ovarioleukodystrophy,157716,Late infantile CACH syndrome,5,"EIF2B1, EIF2B2, EIF2B3, EIF2B4, EIF2B5"
99853,Ovarioleukodystrophy,157719,Juvenile or adult CACH syndrome,5,"EIF2B1, EIF2B2, EIF2B3, EIF2B4, EIF2B5"
99853,Ovarioleukodystrophy,157713,Congenital or early infantile CACH syndrome,5,"EIF2B1, EIF2B2, EIF2B3, EIF2B4, EIF2B5"
99853,Ovarioleukodystrophy,99854,Cree leukoencephalopathy,5,"EIF2B1, EIF2B2, EIF2B3, EIF2B4, EIF2B5"
98942,Coloboma of choroid and retina,98944,,5,"ABCB6, ACTG1, FZD5, PAX6, SALL2"
552,MODY,99885,Isolated permanent neonatal diabetes mellitus,5,"ABCC8, GCK, INS, KCNJ11, PDX1"
154,Familial isolated dilated cardiomyopathy,54260,Left ventricular noncompaction,5,"ACTC1, MYH7, PRDM16, TNNT2, TPM1"
154,Familial isolated dilated cardiomyopathy,293910,"Inherited isolated arrhythmogenic cardiomyopathy, dominant-right variant",5,"DSG2, DSP, LDB3, PLN, TTN"
475,Isolated Joubert syndrome,220493,Joubert syndrome with ocular defect,5,"AHI1, CEP120, CEP41, INPP5E, MKS1"
475,Isolated Joubert syndrome,2754,Orofaciodigital syndrome type 6,5,"CPLANE1, KIAA0753, OFD1, PDE6D, TCTN3"
626,Large/giant congenital melanocytic nevus,251615,Pilomyxoid astrocytoma,5,"BRAF, BRAF, BRAF, BRAF, RAF1"
588,Muscle-eye-brain disease,370959,Congenital muscular dystrophy with cerebellar involvement,5,"FKRP, GMPPB, POMGNT1, POMT1, POMT2"
899,Walker-Warburg syndrome,370959,Congenital muscular dystrophy with cerebellar involvement,5,"FKRP, POMGNT1, POMK, POMT1, POMT2"
564,Meckel syndrome,2318,Joubert syndrome with oculorenal defect,5,"CC2D2A, CEP290, TMEM216, TMEM231, TMEM237"
85408,Rheumatoid factor-negative polyarticular juvenile idiopathic arthritis,85410,Oligoarticular juvenile idiopathic arthritis,5,"CD247, IL2RA, PTPN2, PTPN22, STAT4"
216804,Osteogenesis imperfecta type 2,216812,Osteogenesis imperfecta type 3,5,"COL1A1, COL1A2, CRTAP, P3H1, PPIB"
98991,Early-onset nuclear cataract,98993,Early-onset posterior polar cataract,5,"CRYAB, CRYBA1, EPHA2, GJA3, MIP"
1775,Dyskeratosis congenita,3322,Hoyeraal-Hreidarsson syndrome,5,"DKC1, PARN, RTEL1, TERT, TINF2"
157716,Late infantile CACH syndrome,157719,Juvenile or adult CACH syndrome,5,"EIF2B1, EIF2B2, EIF2B3, EIF2B4, EIF2B5"
