OrphaCode,DiseaseName,AgeOfOnset,TypeOfInheritance,urgency_tier,anomaly_score
154,Familial isolated dilated cardiomyopathy,All ages,"Autosomal dominant, Autosomal recessive, Mitochondrial inheritance, X-linked recessive",3,-0.5291218069196764
220386,Semilobar holoprosencephaly,"Infancy, Neonatal","Multigenic/multifactorial, Not applicable",2,-0.5104095359588243
791,Retinitis pigmentosa,"Adolescent, Adult, Childhood","Autosomal dominant, Autosomal recessive, Mitochondrial inheritance, X-linked recessive",2,-0.500747587093007
1047,Sideroblastic anemia,All ages,"Autosomal dominant, Autosomal recessive, Mitochondrial inheritance, Not applicable, X-linked dominant, X-linked recessive",3,-0.4986366250461823
166,Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy,All ages,"Autosomal dominant, Autosomal recessive, X-linked dominant, X-linked recessive",3,-0.4956301822604521
697160,Infantile epileptic spasms syndrome,Unknown,"Autosomal dominant, Autosomal recessive, X-linked dominant",3,-0.49188323356788344
99796,Subcortical band heterotopia,Unknown,"Autosomal recessive, Unknown, X-linked recessive",3,-0.4885095801627673
34533,Corneal dystrophy,All ages,"Autosomal dominant, Autosomal recessive, Mitochondrial inheritance, Not applicable, X-linked recessive",3,-0.4824325755570935
699605,NEMO deleted exon 5 autoinflammatory syndrome,Unknown,"X-linked dominant, X-linked recessive",3,-0.48217764753150644
281210,X-linked ichthyosis syndrome,Unknown,"Not applicable, X-linked dominant, X-linked recessive",3,-0.48088035890638814
93926,Midline interhemispheric variant of holoprosencephaly,"Infancy, Neonatal","Multigenic/multifactorial, Not applicable",2,-0.4799083312804449
209,Cutis laxa,Unknown,"Autosomal dominant, Autosomal recessive, Not applicable, X-linked recessive",3,-0.4785080999705568
715143,Heterozygous beta-thalassemia intermedia with supernumerary alpha-globin gene,Unknown,Autosomal recessive,3,-0.47824685017075774
93924,Lobar holoprosencephaly,"Infancy, Neonatal","Multigenic/multifactorial, Not applicable",2,-0.47152153243003403
93925,Alobar holoprosencephaly,"Infancy, Neonatal","Multigenic/multifactorial, Not applicable",2,-0.47152153243003403
64747,X-linked Charcot-Marie-Tooth disease,Unknown,"X-linked dominant, X-linked recessive",3,-0.4692699272396631
329903,Immunoglobulin-mediated membranoproliferative glomerulonephritis,Unknown,"Multigenic/multifactorial, Unknown",3,-0.4691740794666199
714070,"Incomplete congenital stationary night blindness, Schubert-Bornschein type",Unknown,"Autosomal recessive, X-linked recessive",3,-0.4658395968202919
714090,"Congenital stationary night blindness, Schubert-Bornschein type",Unknown,"Autosomal recessive, X-linked recessive",3,-0.4658395968202919
388,Hirschsprung disease,"Childhood, Infancy, Neonatal","Autosomal dominant, Autosomal recessive, Multigenic/multifactorial, Not applicable",1,-0.46581517487787594
254837,Unspecified mitochondrial disorder,Unknown,"Autosomal recessive, X-linked recessive",3,-0.4634983197745052
67038,B-cell chronic lymphocytic leukemia,Adult,"Multigenic/multifactorial, Not applicable",3,-0.4622395741107348
280195,Septopreoptic holoprosencephaly,"Infancy, Neonatal",Multigenic/multifactorial,2,-0.46217807854339066
100031,Hypoplastic amelogenesis imperfecta,Unknown,"Autosomal dominant, Autosomal recessive, X-linked dominant",3,-0.4618207847807045
54260,Left ventricular noncompaction,All ages,"Autosomal dominant, Autosomal recessive, Mitochondrial inheritance, X-linked recessive",3,-0.46052370988103497
247765,X-linked cerebellar ataxia,Unknown,"X-linked dominant, X-linked recessive",3,-0.4602101842148039
157798,Serrated polyposis syndrome,"Adult, Elderly","Autosomal dominant, Multigenic/multifactorial, Unknown",3,-0.4598740384306404
692305,Triglyceride deposit cardiomyovasculopathy,Unknown,"Autosomal recessive, Unknown",3,-0.4592340744042649
701,Alopecia universalis,All ages,"Autosomal recessive, Multigenic/multifactorial",3,-0.4584466658071125
101063,Situs inversus totalis,Unknown,"Autosomal dominant, Autosomal recessive, Not applicable",3,-0.458346113501055
715128,Hemoglobin E-beta-thalassemia major,Unknown,Autosomal recessive,3,-0.45595410500164263
715135,Hemoglobin Lepore-beta-thalassemia intermedia,Unknown,Autosomal recessive,3,-0.45595410500164263
